字詞名,注音一式
排子車,ㄆㄞˇ　˙ㄗ　ㄔㄜ
盲人摸象,ㄇㄤˊ　ㄖㄣˊ　ㄇㄛ　ㄒㄧㄤˋ
盲腸炎,ㄇㄤˊ　ㄔㄤˊ　ㄧㄢˊ
芒刺在背,ㄇㄤˊ　ㄘˋ　ㄗㄞˋ　ㄅㄟˋ
忙中有錯,ㄇㄤˊ　ㄓㄨㄥ　ㄧㄡˇ　ㄘㄨㄛˋ
忙裡偷閒,ㄇㄤˊ　ㄌㄧˇ　ㄊㄡ　ㄒㄧㄢˊ
忙得不可開交,ㄇㄤˊ　˙ㄉㄜ　ㄅㄨˋ　ㄎㄜˇ　ㄎㄞ　ㄐㄧㄠ
忙不迭地,ㄇㄤˊ　ㄅㄨˋ　ㄉㄧㄝˊ　˙ㄉㄜ
忙忙碌碌,ㄇㄤˊ　ㄇㄤˊ　ㄌㄨˋ　ㄌㄨˋ
悶葫蘆,ㄇㄣ　ㄏㄨ　ㄌㄨˊ　（變）ㄇㄣ　ㄏㄨˊ　˙ㄌㄨ
悶悶不樂,ㄇㄣˋ　ㄇㄣˋ　ㄅㄨˋ　ㄌㄜˋ　（變）ㄇㄣˋ　ㄇㄣˋ　ㄅㄨˊ　ㄌㄜˋ
捫心自問,ㄇㄣˊ　ㄒㄧㄣ　ㄗˋ　ㄨㄣˋ
門外漢,ㄇㄣˊ　ㄨㄞˋ　ㄏㄢˋ
門戶之見,ㄇㄣˊ　ㄏㄨˋ　ㄓ　ㄐㄧㄢˋ
門戶開放政策,ㄇㄣˊ　ㄏㄨˋ　ㄎㄞ　ㄈㄤˋ　ㄓㄥˋ　ㄘㄜˋ
門可羅雀,ㄇㄣˊ　ㄎㄜˇ　ㄌㄨㄛˊ　ㄑㄩㄝˋ
門庭若市,ㄇㄣˊ　ㄊㄧㄥˊ　ㄖㄨㄛˋ　ㄕˋ
門當戶對,ㄇㄣˊ　ㄉㄤ　ㄏㄨˋ　ㄉㄨㄟˋ
慢車道,ㄇㄢˋ　ㄔㄜ　ㄉㄠˋ
慢性病,ㄇㄢˋ　ㄒㄧㄥˋ　ㄅㄧㄥˋ
慢工出細活,ㄇㄢˋ　ㄍㄨㄥ　ㄔㄨ　ㄒㄧˋ　ㄏㄨㄛˊ
慢吞吞,ㄇㄢˋ　ㄊㄨㄣ　ㄊㄨㄣ
