氓,(一)ㄇㄤˊ
盲從,ㄇㄤˊ　ㄘㄨㄥˊ
盲人,ㄇㄤˊ　ㄖㄣˊ
盲腸,ㄇㄤˊ　ㄔㄤˊ
盲點,ㄇㄤˊ　ㄉㄧㄢˇ
盲目,ㄇㄤˊ　ㄇㄨˋ
盲胞,ㄇㄤˊ　ㄅㄠ
芒草,ㄇㄤˊ　ㄘㄠˇ
盲,ㄇㄤˊ
芒種,ㄇㄤˊ　ㄓㄨㄥˋ
芒果,ㄇㄤˊ　ㄍㄨㄛˇ
芒,ㄇㄤˊ
忙亂,ㄇㄤˊ　ㄌㄨㄢˋ
忙碌,ㄇㄤˊ　ㄌㄨˋ
懣,ㄇㄣˋ
忙,ㄇㄤˊ
悶氣,(一)ㄇㄣˋ　ㄑㄧˋ
燜,ㄇㄣˋ
悶酒,ㄇㄣˋ　ㄐㄧㄡˇ
悶虧,ㄇㄣ　ㄎㄨㄟ
悶棍,ㄇㄣ　ㄍㄨㄣˋ
悶雷,ㄇㄣ　ㄌㄟˊ
悶,(一)ㄇㄣˋ
捫,ㄇㄣˊ
們,(一)ㄇㄣˊ
們,(二)˙ㄇㄣ
門牙,ㄇㄣˊ　ㄧㄚˊ
門人,ㄇㄣˊ　ㄖㄣˊ
門閂,ㄇㄣˊ　ㄕㄨㄢ
門神,ㄇㄣˊ　ㄕㄣˊ
門生,ㄇㄣˊ　ㄕㄥ
門市,ㄇㄣˊ　ㄕˋ
門診,ㄇㄣˊ　ㄓㄣˇ
門徑,ㄇㄣˊ　ㄐㄧㄥˋ
門禁,ㄇㄣˊ　ㄐㄧㄣˋ
門戶,ㄇㄣˊ　ㄏㄨˋ
門框,ㄇㄣˊ　ㄎㄨㄤ
門檻,ㄇㄣˊ　ㄎㄢˇ
門路,ㄇㄣˊ　ㄌㄨˋ
門鈴,ㄇㄣˊ　ㄌㄧㄥˊ
門簾,ㄇㄣˊ　ㄌㄧㄢˊ
門聯,ㄇㄣˊ　ㄌㄧㄢˊ
門類,ㄇㄣˊ　ㄌㄟˋ
門徒,ㄇㄣˊ　ㄊㄨˊ
門第,ㄇㄣˊ　ㄉㄧˋ
門道,ㄇㄣˊ　ㄉㄠˋ
門縫,ㄇㄣˊ　ㄈㄥˋ
門風,ㄇㄣˊ　ㄈㄥ
門楣,ㄇㄣˊ　ㄇㄟˊ
門面,ㄇㄣˊ　ㄇㄧㄢˋ
門房,ㄇㄣˊ　ㄈㄤˊ
門票,ㄇㄣˊ　ㄆㄧㄠˋ
門派,ㄇㄣˊ　ㄆㄞˋ
門牌,ㄇㄣˊ　ㄆㄞˊ
門,ㄇㄣˊ
悶熱,ㄇㄣ　ㄖㄜˋ
悶氣,(二)ㄇㄣ　ㄑㄧˋ
鏝,ㄇㄢˋ
悶,(二)ㄇㄣ
謾罵,ㄇㄢˋ　ㄇㄚˋ
縵,ㄇㄢˋ
謾,(二)ㄇㄢˋ
蔓延,ㄇㄢˋ　ㄧㄢˊ
蔓生,ㄇㄢˋ　ㄕㄥ
蔓藤,ㄇㄢˋ　ㄊㄥˊ
蔓,(一)ㄇㄢˋ
嫚,ㄇㄢˋ
幔,ㄇㄢˋ
慢用,ㄇㄢˋ　ㄩㄥˋ
慢速,ㄇㄢˋ　ㄙㄨˋ
慢走,ㄇㄢˋ　ㄗㄡˇ
慢車,ㄇㄢˋ　ㄔㄜ
慢火,ㄇㄢˋ　ㄏㄨㄛˇ
慢跑,ㄇㄢˋ　ㄆㄠˇ
慢慢,ㄇㄢˋ　ㄇㄢˋ
慢步,ㄇㄢˋ　ㄅㄨˋ
慢,ㄇㄢˋ
漫遊,ㄇㄢˋ　ㄧㄡˊ
漫長,ㄇㄢˋ　ㄔㄤˊ
漫漶,ㄇㄢˋ　ㄏㄨㄢˋ
漫天,ㄇㄢˋ　ㄊㄧㄢ
漫畫,ㄇㄢˋ　ㄏㄨㄚˋ
漫談,ㄇㄢˋ　ㄊㄢˊ
漫漫,ㄇㄢˋ　ㄇㄢˋ
漫步,ㄇㄢˋ　ㄅㄨˋ
漫,ㄇㄢˋ
曼妙,ㄇㄢˋ　ㄇㄧㄠˋ
曼,ㄇㄢˋ
滿月,ㄇㄢˇ　ㄩㄝˋ
滿眼,ㄇㄢˇ　ㄧㄢˇ
滿溢,ㄇㄢˇ　ㄧˋ
滿意,ㄇㄢˇ　ㄧˋ
滿額,ㄇㄢˇ　ㄜˊ
滿座,ㄇㄢˇ　ㄗㄨㄛˋ
滿足,ㄇㄢˇ　ㄗㄨˊ
滿載,ㄇㄢˇ　ㄗㄞˋ
滿身,ㄇㄢˇ　ㄕㄣ
滿手,ㄇㄢˇ　ㄕㄡˇ
滿心,ㄇㄢˇ　ㄒㄧㄣ
滿腔,ㄇㄢˇ　ㄑㄧㄤ
滿懷,ㄇㄢˇ　ㄏㄨㄞˊ
滿臉,ㄇㄢˇ　ㄌㄧㄢˇ
滿壘,ㄇㄢˇ　ㄌㄟˇ
滿天,ㄇㄢˇ　ㄊㄧㄢ
滿堂,ㄇㄢˇ　ㄊㄤˊ
滿地,ㄇㄢˇ　ㄉㄧˋ
滿檔,ㄇㄢˇ　ㄉㄤˇ
滿分,ㄇㄢˇ　ㄈㄣ
滿布,ㄇㄢˇ　ㄅㄨˋ
滿面,ㄇㄢˇ　ㄇㄧㄢˋ
蠻夷,ㄇㄢˊ　ㄧˊ
蠻荒,ㄇㄢˊ　ㄏㄨㄤ
蠻橫,ㄇㄢˊ　ㄏㄥˋ
蠻幹,ㄇㄢˊ　ㄍㄢˋ
蠻,ㄇㄢˊ
顢頇,ㄇㄢˊ　ㄏㄢ
蹣,ㄇㄢˊ
